id,noticeNumber,lotNumber,lotStatus,biddType,biddForm,lotName,lotDescription,biddEndTime,lotImages,currencyCode,category,createDate,timeZoneName,timezoneOffset,hasAppeals,isStopped,isAnnulled,noticeFirstVersionPublicationDate,npaHintCode,typeTransaction,priceMin,etpCode,noticeAttributes,lotVat,parentProcedure,subject,rent_period,area,cadastral_number,link,rosreestr_info,coords_center,address,auction_start_date,bidd_start_date,auction_link,price_step,deposit_price,files,cad_link
23000036640000000113_1,23000036640000000113,1,PUBLISHED,Аренда и продажа земельных участков,Сообщение о предоставлении (реализации),Земельный участок,"Информация о праве граждан, заинтересованных в предоставлении земельного участка, подавать заявления о намерении участвовать в аукционе на право заключения договора аренды земельного участка",2025-02-12 17:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/67850d0b1b9769662dafd0cf?disposition=inline,643,Земли населенных пунктов,2025-01-13 16:55:39.365000+00:00,МСК+1,240,False,False,False,2025-01-13T12:55:58.191Z,hint1_ZK,sale,,,,,,Астраханская область,,148.0,30:07:240102:1988,https://torgi.gov.ru/new/public/lots/lot/23000036640000000113_1,"([45.786524627351966, 47.21543868829756], 'Астраханская обл., р-н Лиманский, п. Лиман, ул. Космонавтов, 43/4')","[45.786524627351966, 47.21543868829756]","Астраханская обл., р-н Лиманский, п. Лиман, ул. Космонавтов, 43/4",,2025-01-14 08:00:00+00:00,,,,"[('схема2.png', 'https://torgi.gov.ru/new/file-store/v1/67850d13518afa60ddf21e42'), ('схема1.png', 'https://torgi.gov.ru/new/file-store/v1/67850d0b1b9769662dafd0cf')]","https://pkk.rosreestr.ru/#/search/47.21543868829756,45.786524627351966/19/@5w3tqw5ca?text=30:7:240102:1988&opened=30:7:240102:1988"
22000099550000000035_1,22000099550000000035,1,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Сообщение о предоставлении (реализации),земельный участок,земельный участок свободный от прав третьих лиц,2025-02-14 00:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/6784bf821754143a1cb8222c?disposition=inline,643,Земли населенных пунктов,2025-01-13 11:27:30.564000+00:00,МСК+1,240,False,False,False,2025-01-13T07:27:53.401Z,hint1_ZK,sale,,,,,,Астраханская область,,1000.0,30:04:020206:424,https://torgi.gov.ru/new/public/lots/lot/22000099550000000035_1,"([46.254363434416625, 47.912613082322245], 'Астраханская область, Икрянинский район, рабочий поселок Ильинка, ул. Василия Кудинова, 8')","[46.254363434416625, 47.912613082322245]","Астраханская область, Икрянинский район, рабочий поселок Ильинка, ул. Василия Кудинова, 8",,2025-01-14 00:00:00+00:00,,,,"[('2025-01-13_11-23-28.png', 'https://torgi.gov.ru/new/file-store/v1/6784bf821754143a1cb8222c')]","https://pkk.rosreestr.ru/#/search/47.912613082322245,46.254363434416625/19/@5w3tqw5ca?text=30:4:20206:424&opened=30:4:20206:424"
22000099550000000035_2,22000099550000000035,2,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Сообщение о предоставлении (реализации),земельный участок,свободный от прав третьих лиц,2025-02-14 00:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/6784c053029b367c71259a63?disposition=inline,643,Земли населенных пунктов,2025-01-13 11:27:30.564000+00:00,МСК+1,240,False,False,False,2025-01-13T07:27:53.401Z,hint1_ZK,sale,,,,,,Астраханская область,,1000.0,30:04:020206:397,https://torgi.gov.ru/new/public/lots/lot/22000099550000000035_2,"([46.25454355208449, 47.9126275508967], 'Астраханская область, муниципальный  район Икрянинский, рабочий поселок Ильинка, ул. Василия Кудинова, 6')","[46.25454355208449, 47.9126275508967]","Астраханская область, муниципальный  район Икрянинский, рабочий поселок Ильинка, ул. Василия Кудинова, 6",,2025-01-14 00:00:00+00:00,,,,"[('2025-01-13_11-26-57.png', 'https://torgi.gov.ru/new/file-store/v1/6784c053029b367c71259a63')]","https://pkk.rosreestr.ru/#/search/47.9126275508967,46.25454355208449/19/@5w3tqw5ca?text=30:4:20206:397&opened=30:4:20206:397"
22000021310000000552_1,22000021310000000552,1,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Электронный аукцион,стоимость земельного участка,от 09.01.2025 №КУВИ-001/2025-3625327,2025-02-17 17:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/67810bd526093e159b4bba71?disposition=inline,643,Земли населенных пунктов,2025-01-10 16:02:51.090000+00:00,МСК+1,240,False,False,False,2025-01-10T12:03:11.643Z,hint1_ZK,sale,247000.0,ETP_AVK,"[{'code': 'DA_tradingFeatures_EA(ZK)', 'fullName': 'Торги проводятся с учетом особенностей в соответствии с 161-ФЗ от 24.07.2008 «О содействии развитию жилищного строительства»', 'value': False, 'attributeType': 'Checker', 'group': {'code': 'N250', 'name': '1.2 Извещение_основные_сведения', 'displayGroupType': 'NOTICE'}, 'sortOrder': 1}]","{'code': 'notAssessedVAT', 'name': 'НДС не облагается'}",,Астраханская область,,1000.0,30:05:030104:232,https://torgi.gov.ru/new/public/lots/lot/22000021310000000552_1,"([46.17311255721748, 47.964922714369436], 'Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с. Чаган, ул. Дачная, з/у 23Д')","[46.17311255721748, 47.964922714369436]","Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с. Чаган, ул. Дачная, з/у 23Д",2025-02-20 11:00:00+00:00,2025-01-13 10:00:00+00:00,http://sale.zakazrf.ru/NotificationEXLot/id/64338,7000.0,123000.0,"[('схема.jpg', 'https://torgi.gov.ru/new/file-store/v1/67810bd526093e159b4bba71')]","https://pkk.rosreestr.ru/#/search/47.964922714369436,46.17311255721748/19/@5w3tqw5ca?text=30:5:30104:232&opened=30:5:30104:232"
22000021310000000551_1,22000021310000000551,1,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Электронный аукцион,стоимость земельного участка,от 09.01.2025 №КУВИ-001/2025-3625313,2025-02-14 17:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/678104c7029b367c7124b766?disposition=inline,643,Земли населенных пунктов,2025-01-10 15:34:33.704000+00:00,МСК+1,240,False,False,False,2025-01-10T11:34:58.473Z,hint1_ZK,sale,247000.0,ETP_AVK,"[{'code': 'DA_tradingFeatures_EA(ZK)', 'fullName': 'Торги проводятся с учетом особенностей в соответствии с 161-ФЗ от 24.07.2008 «О содействии развитию жилищного строительства»', 'value': False, 'attributeType': 'Checker', 'group': {'code': 'N250', 'name': '1.2 Извещение_основные_сведения', 'displayGroupType': 'NOTICE'}, 'sortOrder': 1}]","{'code': 'notAssessedVAT', 'name': 'НДС не облагается'}",,Астраханская область,,1000.0,30:05:030104:231,https://torgi.gov.ru/new/public/lots/lot/22000021310000000551_1,"([46.17319142803889, 47.96523244130523], 'Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с. Чаган, ул. Дачная, з/у 23В')","[46.17319142803889, 47.96523244130523]","Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с. Чаган, ул. Дачная, з/у 23В",2025-02-18 11:00:00+00:00,2025-01-13 10:00:00+00:00,http://sale.zakazrf.ru/NotificationEXLot/id/64337,7000.0,123000.0,"[('схема.jpg', 'https://torgi.gov.ru/new/file-store/v1/678104c7029b367c7124b766')]","https://pkk.rosreestr.ru/#/search/47.96523244130523,46.17319142803889/19/@5w3tqw5ca?text=30:5:30104:231&opened=30:5:30104:231"
22000021310000000550_1,22000021310000000550,1,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Электронный аукцион,стоимость земельного участка,09.01.2025 №КУВИ-001/2025-3625320,2025-02-10 17:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/6780f6d7d09dc15042a38025?disposition=inline,643,Земли населенных пунктов,2025-01-10 14:37:30.588000+00:00,МСК+1,240,False,False,False,2025-01-10T10:37:54.685Z,hint1_ZK,sale,189000.0,ETP_AVK,"[{'code': 'DA_tradingFeatures_EA(ZK)', 'fullName': 'Торги проводятся с учетом особенностей в соответствии с 161-ФЗ от 24.07.2008 «О содействии развитию жилищного строительства»', 'value': False, 'attributeType': 'Checker', 'group': {'code': 'N250', 'name': '1.2 Извещение_основные_сведения', 'displayGroupType': 'NOTICE'}, 'sortOrder': 1}]","{'code': 'notAssessedVAT', 'name': 'НДС не облагается'}",,Астраханская область,,763.0,30:05:030102:201,https://torgi.gov.ru/new/public/lots/lot/22000021310000000550_1,"([46.176651045158785, 47.9800180984306], 'Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с.Чаган, ул.Студенческая, з/у 37 ')","[46.176651045158785, 47.9800180984306]","Астраханская область, Камызякский муниципальный район, сельское поселение Чаганский сельсовет, с.Чаган, ул.Студенческая, з/у 37 ",2025-02-13 11:00:00+00:00,2025-01-11 10:00:00+00:00,http://sale.zakazrf.ru/NotificationEXLot/id/64330,5000.0,94000.0,"[('схема.jpg', 'https://torgi.gov.ru/new/file-store/v1/6780f6d7d09dc15042a38025')]","https://pkk.rosreestr.ru/#/search/47.9800180984306,46.176651045158785/19/@5w3tqw5ca?text=30:5:30102:201&opened=30:5:30102:201"
23000049640000000071_1,23000049640000000071,1,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Электронный аукцион,Право заключения договора аренды земельного участка,"Земельный участок площадью 600 кв.м., расположенный по адресу: Астраханская область, г. Астрахань, Трусовский район, ул. Пушкина, с кадастровым номером  30:12:040672:260 с видом разрешенного использования - для индивидуального жилищного строительства",2025-02-06 12:00:00+00:00,"https://torgi.gov.ru/new/file-store/v1/6780bb6b029b367c71241cba?disposition=inline, https://torgi.gov.ru/new/file-store/v1/6780bb7ad09dc15042a32ff5?disposition=inline",643,Земли населенных пунктов,2025-01-10 09:59:51.969000+00:00,МСК+1,240,False,False,False,2025-01-10T07:08:46.21Z,hint1_ZK,rent,100800.0,ETP_SBAST,"[{'code': 'DA_tradingFeatures_EA(ZK)', 'fullName': 'Торги проводятся с учетом особенностей в соответствии с 161-ФЗ от 24.07.2008 «О содействии развитию жилищного строительства»', 'value': False, 'attributeType': 'Checker', 'group': {'code': 'N250', 'name': '1.2 Извещение_основные_сведения', 'displayGroupType': 'NOTICE'}, 'sortOrder': 1}]","{'code': 'notAssessedVAT', 'name': 'НДС не облагается'}",,Астраханская область,20 лет,600.0,30:12:040672:260,https://torgi.gov.ru/new/public/lots/lot/23000049640000000071_1,"([46.37297111951638, 47.99836943158512], 'Российская Федерация, Астраханская область, г Астрахань, Трусовский район, ул Пушкина')","[46.37297111951638, 47.99836943158512]","Российская Федерация, Астраханская область, г Астрахань, Трусовский район, ул Пушкина",2025-02-10 10:00:00+00:00,2025-01-10 12:00:00+00:00,https://utp.sberbank-ast.ru/AP/NBT/PurchaseView/21/0/0/2680791,3000.0,50400.0,"[('Чертеж градостроительного плана ул. Пушкина.png', 'https://torgi.gov.ru/new/file-store/v1/6780bb941754143a1cb69f33'), ('ЕГРН ул. Пушкина.pdf', 'https://torgi.gov.ru/new/file-store/v1/6780bbae029b367c71241cff'), ('Акт №606 от 19.11.2024.pdf', 'https://torgi.gov.ru/new/file-store/v1/6780bbc2d09dc15042a33021'), ('Изображение ул. Пушкина.png', 'https://torgi.gov.ru/new/file-store/v1/6780bb6b029b367c71241cba'), ('Фото ул. Пушкина.png', 'https://torgi.gov.ru/new/file-store/v1/6780bb7ad09dc15042a32ff5')]","https://pkk.rosreestr.ru/#/search/47.99836943158512,46.37297111951638/19/@5w3tqw5ca?text=30:12:40672:260&opened=30:12:40672:260"
23000049640000000071_2,23000049640000000071,2,APPLICATIONS_SUBMISSION,Аренда и продажа земельных участков,Электронный аукцион,Право заключения договора аренды земельного участка,"Земельный участок площадью 712 кв.м., расположенный по адресу: Астраханская область, г. Астрахань, Трусовский район, ул. Ремонтная, с кадастровым номером  30:12:040083:2345 с видом разрешенного использования - для индивидуального жилищного строительства",2025-02-06 12:00:00+00:00,"https://torgi.gov.ru/new/file-store/v1/6780bce526093e159b4b3b9f?disposition=inline, https://torgi.gov.ru/new/file-store/v1/6780bcf5029b367c71241dfd?disposition=inline, https://torgi.gov.ru/new/file-store/v1/6780bcfb26093e159b4b3bb4?disposition=inline, https://torgi.gov.ru/new/file-store/v1/6780bd061754143a1cb6a015?disposition=inline",643,Земли населенных пунктов,2025-01-10 09:59:51.969000+00:00,МСК+1,240,False,False,False,2025-01-10T07:08:46.21Z,hint1_ZK,rent,82600.0,ETP_SBAST,"[{'code': 'DA_tradingFeatures_EA(ZK)', 'fullName': 'Торги проводятся с учетом особенностей в соответствии с 161-ФЗ от 24.07.2008 «О содействии развитию жилищного строительства»', 'value': False, 'attributeType': 'Checker', 'group': {'code': 'N250', 'name': '1.2 Извещение_основные_сведения', 'displayGroupType': 'NOTICE'}, 'sortOrder': 1}]","{'code': 'notAssessedVAT', 'name': 'НДС не облагается'}",,Астраханская область,20 лет,712.0,30:12:040083:2345,https://torgi.gov.ru/new/public/lots/lot/23000049640000000071_2,"([46.46160270147315, 47.958881917506496], 'Астраханская область, г. Астрахань, Трусовский район, ул Ремонтная')","[46.46160270147315, 47.958881917506496]","Астраханская область, г. Астрахань, Трусовский район, ул Ремонтная",2025-02-10 10:00:00+00:00,2025-01-10 12:00:00+00:00,https://utp.sberbank-ast.ru/AP/NBT/PurchaseView/21/0/0/2680791,2450.0,41300.0,"[('Акт №607 от 19.11.2024.pdf', 'https://torgi.gov.ru/new/file-store/v1/6780bd40029b367c71241e2f'), ('ЕГРН ул. Ремонтная.pdf', 'https://torgi.gov.ru/new/file-store/v1/6780bd6326093e159b4b3bfd'), ('Чертёж градостроительного плана ул. Ремонтная.pdf', 'https://torgi.gov.ru/new/file-store/v1/6780bd98d09dc15042a3312c'), ('Изображение ул. Ремонтная.png', 'https://torgi.gov.ru/new/file-store/v1/6780bce526093e159b4b3b9f'), ('Фото ул. Ремонтная.png', 'https://torgi.gov.ru/new/file-store/v1/6780bcf5029b367c71241dfd'), ('Фото ул. Ремонтная 2.png', 'https://torgi.gov.ru/new/file-store/v1/6780bcfb26093e159b4b3bb4'), ('Фото ул. Ремонтная 1.png', 'https://torgi.gov.ru/new/file-store/v1/6780bd061754143a1cb6a015')]","https://pkk.rosreestr.ru/#/search/47.958881917506496,46.46160270147315/19/@5w3tqw5ca?text=30:12:40083:2345&opened=30:12:40083:2345"
21000022190000000245_4,21000022190000000245,4,APPLICATIONS_SUBMISSION,Аренда лесных участков и продажа лесных насаждений,Электронный аукцион,Введение сельского хозяйства (выпас сельскохозяйственных животных),"Право на заключение договора аренды лесного участка, находящегося в государственной собственности",2025-02-02 15:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/676fe4df1754143a1cb404ec?disposition=inline,643,Земли лесного фонда,2024-12-28 16:35:01.865000+00:00,МСК+1,240,False,False,False,2024-12-28T12:48:49.131Z,hint1_200FZ,rent,43767.66,ETP_SBAST,,"{'code': 'excludingVAT', 'name': 'Без учета НДС'}",,Астраханская область,,1402788.0,30:11:020201:119,https://torgi.gov.ru/new/public/lots/lot/21000022190000000245_4,"([55.3954602540604, 43.83969627553176], nan)","[55.3954602540604, 43.83969627553176]",,2025-02-09 09:00:00+00:00,2025-01-01 09:00:00+00:00,https://utp.sberbank-ast.ru/AP/NBT/PurchaseView/13/0/0/2661796,2188.38,43767.66,"[('Выписка.pdf', 'https://torgi.gov.ru/new/file-store/v1/676fe4e326093e159b493c93'), ('ПД.pdf', 'https://torgi.gov.ru/new/file-store/v1/676fe4e926093e159b493c9f'), ('Проект.docx', 'https://torgi.gov.ru/new/file-store/v1/676fe4eed09dc15042a11ad1'), ('Картинка.jpg', 'https://torgi.gov.ru/new/file-store/v1/676fe4df1754143a1cb404ec')]","https://pkk.rosreestr.ru/#/search/43.83969627553176,55.3954602540604/19/@5w3tqw5ca?text=30:11:20201:119&opened=30:11:20201:119"
21000022190000000245_8,21000022190000000245,8,APPLICATIONS_SUBMISSION,Аренда лесных участков и продажа лесных насаждений,Электронный аукцион,Для осуществления рекреационной деятельности,"Право на заключение договора аренды лесного участка, находящегося в государственной собственности",2025-02-02 15:00:00+00:00,https://torgi.gov.ru/new/file-store/v1/676fe9c8d09dc15042a11dc7?disposition=inline,643,Земли лесного фонда,2024-12-28 16:35:01.865000+00:00,МСК+1,240,False,False,False,2024-12-28T12:48:49.131Z,hint1_200FZ,rent,49147.17,ETP_SBAST,,"{'code': 'excludingVAT', 'name': 'Без учета НДС'}",,Астраханская область,,3470.0,30:05:100202:252,https://torgi.gov.ru/new/public/lots/lot/21000022190000000245_8,"([46.03943935231055, 48.09833441677263], 'Российская Федерация, Астраханская область, Камызякский район, Западнодельтовое леснйчество В границах Камызякского административного района, Камызякское участковое лесничество, квартал 56 выделы 38ч.,41ч.')","[46.03943935231055, 48.09833441677263]","Российская Федерация, Астраханская область, Камызякский район, Западнодельтовое леснйчество В границах Камызякского административного района, Камызякское участковое лесничество, квартал 56 выделы 38ч.,41ч.",2025-02-09 09:00:00+00:00,2025-01-01 09:00:00+00:00,https://utp.sberbank-ast.ru/AP/NBT/PurchaseView/13/0/0/2661796,2457.35,49147.17,"[('выписка.pdf', 'https://torgi.gov.ru/new/file-store/v1/676fe9cc029b367c71218c0d'), ('ПД 252.pdf', 'https://torgi.gov.ru/new/file-store/v1/676fe9d01754143a1cb408db'), ('проект.docx', 'https://torgi.gov.ru/new/file-store/v1/676fe9d426093e159b493f20'), ('Картинка.jpg', 'https://torgi.gov.ru/new/file-store/v1/676fe9c8d09dc15042a11dc7')]","https://pkk.rosreestr.ru/#/search/48.09833441677263,46.03943935231055/19/@5w3tqw5ca?text=30:5:100202:252&opened=30:5:100202:252"
